language,dataset,summac_score_mean,summac_score_std,n,summac_score_ci95
en,cnndm,-0.10658163311837734,0.5517301264079185,58,0.14199360100774047
en,xsum,-0.09506372008660827,0.5909074580757561,66,0.14256193288889063
ro,ro_readerbench,0.28221290989925985,0.35059059062666276,76,0.07882237768399493
