language,dataset,bertscore_f1_mean,bertscore_f1_std,n,bertscore_f1_ci95
en,cnndm,0.8775778928101062,0.02078687133754447,2000,0.0009110248040657116
en,xsum,0.8736301524043083,0.02041286046049801,2000,0.0008946330546558677
ro,ro_readerbench,0.8746976729035377,0.02512879599149845,2000,0.0011013180421824093
